l,o,c,t,h,low,high,close,volume,open
5303535359,5408202009,5308009304,1596758400,5438947230,11318.93,11920.0,11596.06,273935.127,11769.97
5116099049,5326973576,5181332982,1596844800,5326973576,11513.69,11819.0,11765.72,154707.303,11596.26
5120528930,5199330721,5210859674,1596931200,5212012788,11526.9,11811.0,11685.99,125463.463,11765.72
5201594649,5218390006,5426208908,1597017600,5568874464,11384.9,12100.0,11896.89,290418.014,11685.99
5337564971,5408953109,5518155376,1597104000,5518155376,11127.0,11944.0,11392.64,336861.638,11896.86
5194403469,5415306887,5221422647,1597190400,5415306887,11140.0,11630.0,11568.36,213799.491,11392.64
5133318269,5209961703,5171039658,1597276800,5220966695,11272.0,11798.0,11790.0,248214.725,11568.37
5155040925,5160124877,5233703610,1597363200,5267570704,11644.6,11868.42,11767.89,159019.959,11790.0
5242075882,5242075882,5370358331,1597449600,5445605810,11682.0,11993.58,11859.04,222262.987,11767.89
5389179184,5389179184,5421530799,1597536000,5470942546,11688.0,11945.0,11921.23,165733.721,11858.91
5408484045,5445207663,5688195440,1597622400,5688195440,11780.0,12499.42,12298.06,331435.112,11921.32
5602776586,5797657477,5602776586,1597708800,5820994901,11810.0,12403.0,11960.79,291349.888,12298.06
5293508776,5568317098,5293508776,1597795200,5592437483,11574.78,12037.05,11763.87,313267.066,11962.03
5170912209,5301077849,5228806038,1597881600,5326943425,11676.03,11888.0,11857.92,130981.044,11763.88
5114545262,5228865518,5211770690,1597968000,5228865518,11491.0,11882.68,11538.53,195106.536,11858.53
5075274780,5209399814,5082993705,1598054400,5236791338,11385.06,11689.08,11670.47,126696.73,11538.53
5008360056,5077563517,5021620072,1598140800,5077563517,11522.15,11724.0,11654.0,95608.033,11670.48
5019163834,5036084541,5131513500,1598227200,5169779125,11595.0,11831.96,11753.3,108781.125,11654.0
5097695216,5124164048,5161424095,1598313600,5193143065,11130.0,11770.0,11327.17,267234.771,11753.29
4927325739,5186477779,4927325739,1598400000,5186477779,11255.95,11548.68,11466.22,170305.024,11327.18
4644565104,4872798759,4809038945,1598486400,4872798759,11130.82,11593.0,11335.53,253778.342,11466.22
4741523455,4817404155,4744978780,1598572800,4892895043,11283.19,11544.88,11526.85,129477.627,11335.83
4732980476,4762561722,4789558925,1598659200,4840394912,11419.34,11582.0,11466.66,83715.229,11526.85
4772764791,4791046120,4868422662,1598745600,4870027098,11457.88,11724.12,11714.14,113266.672,11466.27
4855455181,4856553357,4943868940,1598832000,4943868940,11575.78,11784.21,11658.11,127272.378,11714.13
4869109522,4944023301,5154839457,1598918400,5165258828,11531.34,12061.07,11930.18,211680.828,11658.11
4845805015,5221987602,4845805015,1599004800,5236555769,11156.0,11961.0,11396.96,280411.964,11930.17
4411151056,4842367949,4411151056,1599091200,4842367949,9901.16,11475.0,10141.08,487812.737,11396.44
3786597119,4356214222,3786597119,1599177600,4356214222,9878.65,10635.77,10448.0,432563.841,10141.4
3699106232,3746585925,3738410725,1599264000,3751203727,9808.58,10567.87,10168.71,399307.282,10448.0
3635432350,3710097548,3691930010,1599350400,3710097548,10003.0,10348.97,10258.13,190207.654,10168.23
3673693108,3673693108,3765629574,1599436800,3775613083,9879.68,10420.55,10378.76,258476.949,10258.13
3684318145,3776441639,3820398813,1599523200,3826074911,9842.01,10443.79,10129.02,317802.322,10379.3
3685273517,3823155584,3711642686,1599609600,3823155584,9981.13,10346.0,10219.29,151222.689,10130.0
3671865608,3719639526,3747680283,1599696000,3771663517,10211.67,10484.6,10335.91,187667.873,10219.29
3725375004,3755584870,3767227181,1599782400,3816005919,10200.8,10397.85,10387.81,135929.303,10335.91
3763366071,3763366071,3767070885,1599868800,3808850665,10271.0,10477.7,10438.28,97429.037,10387.81
3779228369,3779228369,3807252962,1599955200,3855679043,10209.01,10580.0,10327.72,159021.843,10438.29
