start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total
2022-02-23 20:00:00,2022-02-23 20:00:00,61.78571429,17300
2022-02-23 21:00:00,2022-02-23 21:00:00,80.40559441,22996
2022-02-23 22:00:00,2022-02-23 22:00:00,50.45714286,14128
2022-02-23 23:00:00,2022-02-23 23:00:00,68.05992509,18172
2022-02-24 00:00:00,2022-02-24 00:00:00,68.0651341,17765
2022-02-24 01:00:00,2022-02-24 01:00:00,76.30232558,19686
2022-02-24 02:00:00,2022-02-24 02:00:00,72.92720307,19034
2022-02-24 03:00:00,2022-02-24 03:00:00,57.50406504,14146
2022-02-24 04:00:00,2022-02-24 04:00:00,60.76556777,16589
2022-02-24 05:00:00,2022-02-24 05:00:00,60.76653696,15617
2022-02-24 06:00:00,2022-02-24 06:00:00,62.94326241,17750
2022-02-24 07:00:00,2022-02-24 07:00:00,100.86759582,28949
2022-02-24 08:00:00,2022-02-24 08:00:00,57.55902778,16577
2022-02-24 09:00:00,2022-02-24 09:00:00,67.25099602,16880
2022-02-24 10:00:00,2022-02-24 10:00:00,67.50787402,17147
2022-02-24 11:00:00,2022-02-24 11:00:00,63.69148936,17961
2022-02-24 12:00:00,2022-02-24 12:00:00,52.40492958,14883
2022-02-24 13:00:00,2022-02-24 13:00:00,68.40598291,16007
2022-02-24 14:00:00,2022-02-24 14:00:00,59.21538462,15396
2022-02-24 15:00:00,2022-02-24 15:00:00,55.26470588,15032
2022-02-24 16:00:00,2022-02-24 16:00:00,60.06028369,16937
2022-02-24 17:00:00,2022-02-24 17:00:00,60.5087108,17366
2022-02-24 18:00:00,2022-02-24 18:00:00,69.1130742,19559
2022-02-24 19:00:00,2022-02-24 19:00:00,61.98496241,16488
2022-02-24 20:00:00,2022-02-24 20:00:00,56.85053381,15975
2022-02-24 21:00:00,2022-02-24 21:00:00,71.40217391,19707
2022-02-24 22:00:00,2022-02-24 22:00:00,62.68045113,16673
2022-02-24 23:00:00,2022-02-24 23:00:00,64.28571429,18900
2022-02-25 00:00:00,2022-02-25 00:00:00,69.24045802,18141
2022-02-25 01:00:00,2022-02-25 01:00:00,67.80314961,17222
2022-02-25 02:00:00,2022-02-25 02:00:00,72.41666667,19118
2022-02-25 03:00:00,2022-02-25 03:00:00,77.47985348,21152
2022-02-25 04:00:00,2022-02-25 04:00:00,70.09642857,19627
2022-02-25 05:00:00,2022-02-25 05:00:00,64.38432836,17255
2022-02-25 06:00:00,2022-02-25 06:00:00,75.5254902,19259
2022-02-25 07:00:00,2022-02-25 07:00:00,74.42205323,19573
2022-02-25 08:00:00,2022-02-25 08:00:00,60.39607843,15401
2022-02-25 09:00:00,2022-02-25 09:00:00,64.35344828,14930
2022-02-25 10:00:00,2022-02-25 10:00:00,61.63333333,16641
2022-02-25 11:00:00,2022-02-25 11:00:00,59.58007117,16742
2022-02-25 12:00:00,2022-02-25 12:00:00,61.74021352,17349
2022-02-25 13:00:00,2022-02-25 13:00:00,60.60516605,16424
2022-02-25 14:00:00,2022-02-25 14:00:00,62.16370107,17468
2022-02-25 15:00:00,2022-02-25 15:00:00,65.56028369,18488
2022-02-25 16:00:00,2022-02-25 16:00:00,67.63070539,16299
2022-02-25 17:00:00,2022-02-25 17:00:00,67.30627306,18240
2022-02-25 18:00:00,2022-02-25 18:00:00,68.16788321,18678
2022-02-25 19:00:00,2022-02-25 19:00:00,63.25795053,17902
2022-02-25 20:00:00,2022-02-25 20:00:00,58.89045936,16666
2022-02-25 21:00:00,2022-02-25 21:00:00,67.27941176,18300
2022-02-25 22:00:00,2022-02-25 22:00:00,67.30859375,17231
2022-02-25 23:00:00,2022-02-25 23:00:00,59.36690647,16504
2022-02-26 00:00:00,2022-02-26 00:00:00,63.90196078,16295
2022-02-26 01:00:00,2022-02-26 01:00:00,77.30434783,21336
2022-02-26 02:00:00,2022-02-26 02:00:00,61.20731707,15057
2022-02-26 03:00:00,2022-02-26 03:00:00,71.12075472,18847
2022-02-26 04:00:00,2022-02-26 04:00:00,42.73863636,11283
2022-02-26 05:00:00,2022-02-26 05:00:00,67.35496183,17647
2022-02-26 06:00:00,2022-02-26 06:00:00,70.22265625,17977
2022-02-26 07:00:00,2022-02-26 07:00:00,68.73476703,19177
2022-02-26 08:00:00,2022-02-26 08:00:00,68.12307692,17712
2022-02-26 09:00:00,2022-02-26 09:00:00,66.44250871,19069
