l,o,c,t,h,high,open,volume,close,low
-0.05930251,-0.05456556,-0.01450755,1599177600,0.00592323,10635.77,10141.4,432563.841,10448.0,9878.65
-0.00890179,-0.00890179,-0.00716975,1599264000,0.00999617,10567.87,10448.0,399307.282,10168.71,9808.58
-0.00877636,0.00154139,0.0006533,1599350400,0.00695596,10348.97,10168.23,190207.654,10258.13,10003.0
0.00178483,0.00178483,0.00852528,1599436800,0.00891046,10420.55,10258.13,258476.949,10378.76,9879.68
-0.00907324,0.00800058,0.0043678,1599523200,0.01091898,10443.79,10379.3,317802.322,10129.02,9842.01
0.00188831,0.00839097,0.00800033,1599609600,0.01067508,10346.0,10130.0,151222.689,10219.29,9981.13
-0.00765771,0.00605164,-0.00753102,1599696000,0.00852566,10484.6,10219.29,187667.873,10335.91,10211.67
-0.00515792,-0.00515792,0.00724772,1599782400,0.00972701,10397.85,10335.91,135929.303,10387.81,10200.8
-0.01159061,0.00518171,0.00724028,1599868800,0.01011332,10477.7,10387.81,97429.037,10438.28,10271.0
-0.02216216,0.00361329,-0.01864812,1599955200,0.00884035,10580.0,10438.29,159021.843,10327.72,10209.01
-0.01780489,-0.01512888,-0.01328712,1600041600,0.00512075,10746.06,10327.72,205260.236,10664.1,10241.57
-0.02054016,-0.00978782,-0.00835446,1600128000,0.00374752,10923.42,10664.1,247657.23,10776.78,10592.0
-0.01828968,-0.00777182,0.0027142,1600214400,0.00658316,11089.08,10776.88,252881.019,10948.17,10661.9
-0.00788304,0.00040868,-0.00384011,1600300800,0.01017791,11040.0,10948.16,186484.361,10935.33,10740.0
-0.02178775,0.00002656,-0.0170885,1600387200,0.00980496,11035.0,10935.97,136028.351,10926.29,10810.1
-0.01664317,-0.01193353,-0.00114157,1600473600,0.00841069,11177.0,10926.3,126239.232,11073.74,10880.0
-0.0138502,0.00150293,-0.00749229,1600560000,0.00569003,11073.9,11073.2,150450.562,10914.28,10751.0
-0.03604188,-0.00677653,-0.01951369,1600646400,0.01122267,10980.69,10915.52,333047.145,10414.73,10281.0
-0.01579417,-0.01579417,-0.00244675,1600732800,0.00625934,10574.08,10414.73,179900.686,10523.32,10353.1
-0.01094463,-0.00721666,-0.0077785,1600819200,0.00304827,10531.94,10523.32,203027.542,10237.91,10132.21
-0.00715889,-0.00296818,0.00070928,1600905600,0.00668791,10837.27,10237.91,241646.573,10724.92,10191.0
-0.00598132,-0.00085436,-0.00379549,1600992000,0.00970774,10754.29,10724.91,170930.773,10683.51,10551.56
-0.00421812,0.00266141,-0.00219456,1601078400,0.0097944,10827.8,10683.5,109340.491,10726.5,10642.23
-0.00053921,-0.00053921,0.00569485,1601164800,0.00890115,10793.5,10726.5,123440.716,10768.0,10584.0
0.00773246,0.00841087,0.00841844,1601251200,0.0143128,11024.0,10768.0,187105.377,10691.45,10627.19
0.00431193,0.00875815,0.00938511,1601337600,0.01011889,10863.94,10691.94,146888.319,10836.98,10631.49
-0.01123763,0.00962826,0.00547109,1601424000,0.01128951,10845.99,10836.99,132834.116,10773.0,10660.05
-0.00522703,0.00624841,-0.00429073,1601510400,0.01583056,10935.14,10773.0,253619.622,10612.63,10442.0
-0.02643805,-0.00491065,0.00122722,1601596800,0.00155863,10660.0,10612.62,224747.037,10565.15,10371.03
-0.01415205,-0.00570061,-0.00959635,1601683200,-0.00011164,10596.0,10565.44,76315.911,10537.96,10491.11
-0.02047986,-0.0099526,0.00504123,1601769600,0.00673333,10694.0,10537.96,90912.105,10660.16,10514.0
-0.00988402,0.00352333,-0.00988402,1601856000,0.00458185,10792.0,10660.16,130589.137,10785.0,10608.9
-0.0119871,-0.0119871,-0.00838445,1601942400,0.00924808,10792.0,10784.99,184895.25,10593.65,10510.66
-0.01918061,-0.01040733,0.00156199,1602028800,0.00668872,10675.0,10593.65,106700.522,10658.75,10540.29
-0.00424544,0.00379482,0.00803944,1602115200,0.01060514,10958.0,10658.75,207938.861,10919.45,10523.0
0.00445346,0.00730427,0.01055574,1602201600,0.01423859,11110.0,10919.45,154336.818,11050.47,10818.44
0.00498437,0.00954993,0.00840228,1602288000,0.01725562,11494.0,11050.46,199398.012,11294.79,11050.46
0.00857678,0.00962061,0.00897418,1602374400,0.01513179,11450.73,11294.78,146323.076,11369.59,11273.77
0.00324551,0.00906702,0.01334631,1602460800,0.01334631,11732.0,11369.59,254217.203,11530.36,11157.0
0.00154437,0.01229459,0.00154437,1602547200,0.01295628,11562.0,11530.37,199115.115,11419.36,11308.0
-0.00785315,0.00413691,-0.00199895,1602633600,0.00993465,11550.0,11419.36,192936.97,11417.13,11280.5
0.00108763,0.00108763,0.00717282,1602720000,0.009793,11649.48,11417.12,215260.399,11502.0,11250.0
-0.00738572,0.00831189,-0.00596489,1602806400,0.00891328,11538.92,11502.0,212339.085,11318.92,11175.0
-0.01056125,-0.00744606,-0.01000948,1602892800,0.00768423,11424.09,11319.51,95892.966,11356.25,11250.0
-0.01416696,-0.00939455,0.00158743,1602979200,0.00724015,11529.93,11356.25,92472.191,11501.1,11342.54
-0.00470203,0.00286549,-0.00291386,1603065600,0.00905208,11830.0,11501.5,230161.648,11745.0,11404.01
-0.00491707,-0.00000767,-0.00323217,1603152000,0.00754128,12045.78,11744.99,312811.802,11900.03,11673.0
-0.00312706,-0.00312706,0.00856111,1603238400,0.01416333,13240.0,11900.03,591963.069,12796.07,11876.0
0.00387843,0.0095711,0.0092899,1603324800,0.0185251,13188.27,12796.06,343851.666,12968.87,12675.5
0.00687509,0.00944797,0.00764836,1603411200,0.03348551,13043.0,12970.39,237042.526,12925.82,12725.04
0.0074733,0.0074733,0.0082956,1603497600,0.01543762,13177.59,12925.82,176146.631,13110.88,12871.07
0.00822348,0.00880555,0.00938071,1603584000,0.01670802,13369.0,13110.88,206012.652,13023.81,12715.0
-0.00056505,0.00956228,0.00100733,1603670400,0.0155578,13240.0,13024.21,316503.296,13047.24,12729.0
0.00022337,0.00268664,0.00022337,1603756800,0.01502253,13787.83,13047.24,411509.506,13629.38,13041.3
-0.01192395,-0.00076484,-0.01192395,1603843200,0.01466463,13863.0,13629.89,476993.789,13256.17,12876.0
