start_time,date,market_premium
2021-05-11,2021-05-11,-16.14816654982202
2021-05-12,2021-05-12,-3.9429588705020113
2021-05-13,2021-05-13,-20.68000397058465
2021-05-14,2021-05-14,-16.20836657863415
2021-05-17,2021-05-17,-13.558489725241918
2021-05-18,2021-05-18,-14.968882112176928
2021-05-19,2021-05-19,-5.888078441262623
2021-05-20,2021-05-20,-13.65470293947688
2021-05-21,2021-05-21,-6.091946052009744
2021-05-24,2021-05-24,-9.5504909984657
2021-05-25,2021-05-25,-12.87465903812426
2021-05-26,2021-05-26,-13.412346842317222
2021-05-27,2021-05-27,-10.694913044403286
2021-05-28,2021-05-28,-10.121201976182338
2021-06-01,2021-06-01,-14.540040397677856
2021-06-02,2021-06-02,-12.14404672583711
2021-06-03,2021-06-03,-12.768758683824132
2021-06-04,2021-06-04,-10.98949795673404
2021-06-07,2021-06-07,-6.492754371283782
2021-06-08,2021-06-08,-12.76265575820723
2021-06-09,2021-06-09,-14.53961173058189
2021-06-10,2021-06-10,-12.023893464977409
2021-06-11,2021-06-11,-12.45134057804741
2021-06-14,2021-06-14,-13.308786208755528
2021-06-15,2021-06-15,-12.0959073371788
2021-06-16,2021-06-16,-11.214508288815328
2021-06-17,2021-06-17,-10.625034056641304
2021-06-18,2021-06-18,-11.652203092314885
2021-06-21,2021-06-21,-6.931524851611303
2021-06-22,2021-06-22,-8.490692446097137
2021-06-23,2021-06-23,-12.335248093570891
2021-06-24,2021-06-24,-9.213025451117185
2021-06-25,2021-06-25,-6.85686324172533
2021-06-28,2021-06-28,-9.89430623964257
2021-06-29,2021-06-29,-7.864540125780417
2021-06-30,2021-06-30,-9.598611321223736
2021-07-01,2021-07-01,-9.6902820997392
2021-07-02,2021-07-02,-10.097784938748022
2021-07-06,2021-07-06,-10.784363234034522
2021-07-07,2021-07-07,-9.738516644611138
2021-07-08,2021-07-08,-11.365083104081396
2021-07-09,2021-07-09,-12.985738472107244
2021-07-12,2021-07-12,-13.509416367337543
2021-07-13,2021-07-13,-14.198356788892609
