start_time,date,fund_flow_ratio
2022-02-16,2022-02-16,0.00347542
2022-02-17,2022-02-17,0.00397584
2022-02-18,2022-02-18,0.00325473
2022-02-19,2022-02-19,0.00274069
2022-02-20,2022-02-20,0.00253342
2022-02-21,2022-02-21,0.00285284
2022-02-22,2022-02-22,0.00363143
2022-02-23,2022-02-23,0.00347348
2022-02-24,2022-02-24,0.0085742
2022-02-25,2022-02-25,0.0059219
2022-02-26,2022-02-26,0.00345161
2022-02-27,2022-02-27,0.00611136
2022-02-28,2022-02-28,0.00570993
2022-03-01,2022-03-01,0.00667906
2022-03-02,2022-03-02,0.00738397
2022-03-03,2022-03-03,0.00622523
2022-03-04,2022-03-04,0.00438057
2022-03-05,2022-03-05,0.00345074
2022-03-06,2022-03-06,0.00275228
2022-03-07,2022-03-07,0.00480782
2022-03-08,2022-03-08,0.00164176
2022-03-09,2022-03-09,0.00234339
2022-03-10,2022-03-10,0.00433298
2022-03-11,2022-03-11,0.00295069
2022-03-12,2022-03-12,0.0020254
2022-03-13,2022-03-13,0.00188676
2022-03-14,2022-03-14,0.00362708
2022-03-15,2022-03-15,0.0048261
2022-03-16,2022-03-16,0.00413893
2022-03-17,2022-03-17,0.00555712
2022-03-18,2022-03-18,0.00828653
2022-03-19,2022-03-19,0.00369182
2022-03-20,2022-03-20,0.00331531
2022-03-21,2022-03-21,0.00327152
2022-03-22,2022-03-22,0.00933307
2022-03-23,2022-03-23,0.00532299
2022-03-24,2022-03-24,0.00721839
2022-03-25,2022-03-25,0.00548167
2022-03-26,2022-03-26,0.00405122
2022-03-27,2022-03-27,0.00288074
2022-03-28,2022-03-28,0.00489334
2022-03-29,2022-03-29,0.00548623
2022-03-30,2022-03-30,0.00585306
2022-03-31,2022-03-31,0.00555682
2022-04-01,2022-04-01,0.00577317
2022-04-02,2022-04-02,0.00225144
2022-04-03,2022-04-03,0.00163129
2022-04-04,2022-04-04,0.00296724
2022-04-05,2022-04-05,0.00173328
2022-04-06,2022-04-06,0.00451694
2022-04-07,2022-04-07,0.00331004
2022-04-08,2022-04-08,0.00343654
2022-04-09,2022-04-09,0.00181945
2022-04-10,2022-04-10,0.00316393
2022-04-11,2022-04-11,0.00320832
2022-04-12,2022-04-12,0.00313717
2022-04-13,2022-04-13,0.00249635
2022-04-14,2022-04-14,0.00165595
2022-04-15,2022-04-15,0.00230926
2022-04-16,2022-04-16,0.00237894
2022-04-17,2022-04-17,0.00151504
2022-04-18,2022-04-18,0.00299271
2022-04-19,2022-04-19,0.00303723
2022-04-20,2022-04-20,0.00550443
2022-04-21,2022-04-21,0.00264781
2022-04-22,2022-04-22,0.00246552
2022-04-23,2022-04-23,0.00142955
2022-04-24,2022-04-24,0.00125015
2022-04-25,2022-04-25,0.00255438
2022-04-26,2022-04-26,0.00195029
2022-04-27,2022-04-27,0.00257381
2022-04-28,2022-04-28,0.00235972
2022-04-29,2022-04-29,0.00358846
2022-04-30,2022-04-30,0.00255414
2022-05-01,2022-05-01,0.00227277
2022-05-02,2022-05-02,0.00256105
2022-05-03,2022-05-03,0.00185641
2022-05-04,2022-05-04,0.00257118
2022-05-05,2022-05-05,0.00268918
2022-05-06,2022-05-06,0.00372937
2022-05-07,2022-05-07,0.00314941
2022-05-08,2022-05-08,0.006011
2022-05-09,2022-05-09,0.01076233
2022-05-10,2022-05-10,0.00958617
2022-05-11,2022-05-11,0.00988859
2022-05-12,2022-05-12,0.00698141
2022-05-13,2022-05-13,0.00440981
2022-05-14,2022-05-14,0.00322866
2022-05-15,2022-05-15,0.003869
2022-05-16,2022-05-16,0.00543461
2022-05-17,2022-05-17,0.00517731
2022-05-18,2022-05-18,0.0078795
2022-05-19,2022-05-19,0.00753914
2022-05-20,2022-05-20,0.00861665
2022-05-21,2022-05-21,0.00649932
2022-05-22,2022-05-22,0.00672028
2022-05-23,2022-05-23,0.00886844
2022-05-24,2022-05-24,0.00597757
2022-05-25,2022-05-25,0.00998669
2022-05-26,2022-05-26,0.00935856
2022-05-27,2022-05-27,0.00763374
2022-05-28,2022-05-28,0.00702851
