start_time,date,open_interest
2022-09-27,2022-09-27,3080212398.3807993
2022-09-28,2022-09-28,3186185255.2331
2022-09-29,2022-09-29,3247111493.9469
2022-09-30,2022-09-30,3064845962.5311
2022-10-01,2022-10-01,3071300241.1574993
2022-10-02,2022-10-02,3057261084.6443
2022-10-03,2022-10-03,3340491646.7167
2022-10-04,2022-10-04,4145444412.5662
2022-10-05,2022-10-05,3951972377.9874
2022-10-06,2022-10-06,3865280160.2368
2022-10-07,2022-10-07,3572060160.6666
2022-10-08,2022-10-08,3517871982.6779003
2022-10-09,2022-10-09,3531138277.3132997
2022-10-10,2022-10-10,3638768768.2373
2022-10-11,2022-10-11,3711131106.1497
2022-10-12,2022-10-12,3605565292.698401
2022-10-13,2022-10-13,3684406113.193
2022-10-14,2022-10-14,3481417852.5529
2022-10-15,2022-10-15,3513926795.2674003
2022-10-16,2022-10-16,3419938896.6618996
2022-10-17,2022-10-17,3754057666.872
2022-10-18,2022-10-18,3618078309.0806
2022-10-19,2022-10-19,3631778372.6164994
2022-10-20,2022-10-20,3691737488.9676
2022-10-21,2022-10-21,3569348492.6860003
2022-10-22,2022-10-22,3573337307.1741996
2022-10-23,2022-10-23,3845285865.3267994
2022-10-24,2022-10-24,3499825075.9814
2022-10-25,2022-10-25,4028547111.8
2022-10-26,2022-10-26,4250035402.2756
2022-10-27,2022-10-27,3819658252.368799
2022-10-28,2022-10-28,3759995555.9805994
2022-10-29,2022-10-29,3929507554.0768
2022-10-30,2022-10-30,3689571220.721899
2022-10-31,2022-10-31,3456119284.7976
2022-11-01,2022-11-01,3469206421.6799
2022-11-02,2022-11-02,3336883733.7992997
2022-11-03,2022-11-03,3345548992.3178997
2022-11-04,2022-11-04,3785506235.0642
2022-11-05,2022-11-05,3954958033.0294
2022-11-06,2022-11-06,3692169705.0442
2022-11-07,2022-11-07,3456558658.0475
2022-11-08,2022-11-08,2917201681.2067
2022-11-09,2022-11-09,2783153495.609
2022-11-10,2022-11-10,2787841599.4125
2022-11-11,2022-11-11,2641435658.8839
2022-11-12,2022-11-12,2617759500.6579
2022-11-13,2022-11-13,2595887474.3464
2022-11-14,2022-11-14,2575023722.6523
2022-11-15,2022-11-15,2673567501.7471
2022-11-16,2022-11-16,2725829286.3296
2022-11-17,2022-11-17,2764207143.6966
2022-11-18,2022-11-18,2739522190.7639003
2022-11-19,2022-11-19,2720368071.1287003
2022-11-20,2022-11-20,2723405528.521
2022-11-21,2022-11-21,2771661293.2869997
2022-11-22,2022-11-22,2807225349.3464003
2022-11-23,2022-11-23,2751698603.6499996
2022-11-24,2022-11-24,2747775484.9191003
2022-11-25,2022-11-25,2760384342.3779
2022-11-26,2022-11-26,2773497166.0002003
2022-11-27,2022-11-27,2791216562.3868
2022-11-28,2022-11-28,2730637047.0714
2022-11-29,2022-11-29,2800042480.1564
2022-11-30,2022-11-30,2874488805.8304
2022-12-01,2022-12-01,2879841123.5373
2022-12-02,2022-12-02,2867783540.7443
2022-12-03,2022-12-03,2853681742.7903996
2022-12-04,2022-12-04,3010358186.2741
2022-12-05,2022-12-05,2789723905.0677996
2022-12-06,2022-12-06,2573807129.462
