start_time,datetime,exchange_supply_ratio
2021-01-06 05:00:00,2021-01-06 05:00:00,0.03242522
2021-01-06 06:00:00,2021-01-06 06:00:00,0.03243924
2021-01-06 07:00:00,2021-01-06 07:00:00,0.03239497
2021-01-06 08:00:00,2021-01-06 08:00:00,0.03241573
2021-01-06 09:00:00,2021-01-06 09:00:00,0.0326082
2021-01-06 10:00:00,2021-01-06 10:00:00,0.03261852
2021-01-06 11:00:00,2021-01-06 11:00:00,0.03246941
2021-01-06 12:00:00,2021-01-06 12:00:00,0.03234785
2021-01-06 13:00:00,2021-01-06 13:00:00,0.03201517
2021-01-06 14:00:00,2021-01-06 14:00:00,0.03203963
2021-01-06 15:00:00,2021-01-06 15:00:00,0.0320042
2021-01-06 16:00:00,2021-01-06 16:00:00,0.0319796
2021-01-06 17:00:00,2021-01-06 17:00:00,0.03195254
2021-01-06 18:00:00,2021-01-06 18:00:00,0.03196757
2021-01-06 19:00:00,2021-01-06 19:00:00,0.03199151
2021-01-06 20:00:00,2021-01-06 20:00:00,0.03196942
2021-01-06 21:00:00,2021-01-06 21:00:00,0.03198649
2021-01-06 22:00:00,2021-01-06 22:00:00,0.03196703
2021-01-06 23:00:00,2021-01-06 23:00:00,0.03189276
2021-01-07 00:00:00,2021-01-07 00:00:00,0.03191911
2021-01-07 01:00:00,2021-01-07 01:00:00,0.03190255
2021-01-07 02:00:00,2021-01-07 02:00:00,0.03183558
2021-01-07 03:00:00,2021-01-07 03:00:00,0.03187186
2021-01-07 04:00:00,2021-01-07 04:00:00,0.03180726
2021-01-07 05:00:00,2021-01-07 05:00:00,0.03179273
2021-01-07 06:00:00,2021-01-07 06:00:00,0.03180952
2021-01-07 07:00:00,2021-01-07 07:00:00,0.03178387
2021-01-07 08:00:00,2021-01-07 08:00:00,0.03176572
2021-01-07 09:00:00,2021-01-07 09:00:00,0.03189248
2021-01-07 10:00:00,2021-01-07 10:00:00,0.03189299
2021-01-07 11:00:00,2021-01-07 11:00:00,0.03192478
2021-01-07 12:00:00,2021-01-07 12:00:00,0.03185339
2021-01-07 13:00:00,2021-01-07 13:00:00,0.03186475
2021-01-07 14:00:00,2021-01-07 14:00:00,0.03186967
2021-01-07 15:00:00,2021-01-07 15:00:00,0.0319252
2021-01-07 16:00:00,2021-01-07 16:00:00,0.03207967
2021-01-07 17:00:00,2021-01-07 17:00:00,0.03201916
2021-01-07 18:00:00,2021-01-07 18:00:00,0.03204929
2021-01-07 19:00:00,2021-01-07 19:00:00,0.0321148
2021-01-07 20:00:00,2021-01-07 20:00:00,0.03215254
2021-01-07 21:00:00,2021-01-07 21:00:00,0.03212265
2021-01-07 22:00:00,2021-01-07 22:00:00,0.0321227
2021-01-07 23:00:00,2021-01-07 23:00:00,0.03215889
2021-01-08 00:00:00,2021-01-08 00:00:00,0.03188347
2021-01-08 01:00:00,2021-01-08 01:00:00,0.03180085
2021-01-08 02:00:00,2021-01-08 02:00:00,0.03163578
2021-01-08 03:00:00,2021-01-08 03:00:00,0.0319201
2021-01-08 04:00:00,2021-01-08 04:00:00,0.03189732
2021-01-08 05:00:00,2021-01-08 05:00:00,0.03190972
2021-01-08 06:00:00,2021-01-08 06:00:00,0.03197119
2021-01-08 07:00:00,2021-01-08 07:00:00,0.03202707
2021-01-08 08:00:00,2021-01-08 08:00:00,0.03200807
2021-01-08 09:00:00,2021-01-08 09:00:00,0.03205293
2021-01-08 10:00:00,2021-01-08 10:00:00,0.0320656
2021-01-08 11:00:00,2021-01-08 11:00:00,0.03214531
2021-01-08 12:00:00,2021-01-08 12:00:00,0.03222804
2021-01-08 13:00:00,2021-01-08 13:00:00,0.03224972
2021-01-08 14:00:00,2021-01-08 14:00:00,0.03246493
2021-01-08 15:00:00,2021-01-08 15:00:00,0.03243473
2021-01-08 16:00:00,2021-01-08 16:00:00,0.03245333
2021-01-08 17:00:00,2021-01-08 17:00:00,0.03246625
2021-01-08 18:00:00,2021-01-08 18:00:00,0.03246737
2021-01-08 19:00:00,2021-01-08 19:00:00,0.03241345
2021-01-08 20:00:00,2021-01-08 20:00:00,0.03240317
2021-01-08 21:00:00,2021-01-08 21:00:00,0.03244977
2021-01-08 22:00:00,2021-01-08 22:00:00,0.03248792
2021-01-08 23:00:00,2021-01-08 23:00:00,0.03245607
2021-01-09 00:00:00,2021-01-09 00:00:00,0.03245671
2021-01-09 01:00:00,2021-01-09 01:00:00,0.03243605
2021-01-09 02:00:00,2021-01-09 02:00:00,0.03241832
2021-01-09 03:00:00,2021-01-09 03:00:00,0.03240863
2021-01-09 04:00:00,2021-01-09 04:00:00,0.03244211
2021-01-09 05:00:00,2021-01-09 05:00:00,0.032486
2021-01-09 06:00:00,2021-01-09 06:00:00,0.03246489
2021-01-09 07:00:00,2021-01-09 07:00:00,0.03245451
2021-01-09 08:00:00,2021-01-09 08:00:00,0.03245387
2021-01-09 09:00:00,2021-01-09 09:00:00,0.03246643
2021-01-09 10:00:00,2021-01-09 10:00:00,0.03245991
2021-01-09 11:00:00,2021-01-09 11:00:00,0.03246127
2021-01-09 12:00:00,2021-01-09 12:00:00,0.03249486
2021-01-09 13:00:00,2021-01-09 13:00:00,0.03250894
2021-01-09 14:00:00,2021-01-09 14:00:00,0.03251042
2021-01-09 15:00:00,2021-01-09 15:00:00,0.03250094
2021-01-09 16:00:00,2021-01-09 16:00:00,0.0325082
2021-01-09 17:00:00,2021-01-09 17:00:00,0.03259451
2021-01-09 18:00:00,2021-01-09 18:00:00,0.03257641
2021-01-09 19:00:00,2021-01-09 19:00:00,0.03256001
2021-01-09 20:00:00,2021-01-09 20:00:00,0.03257623
2021-01-09 21:00:00,2021-01-09 21:00:00,0.03271523
2021-01-09 22:00:00,2021-01-09 22:00:00,0.03282609
2021-01-09 23:00:00,2021-01-09 23:00:00,0.03287903
2021-01-10 00:00:00,2021-01-10 00:00:00,0.0329818
2021-01-10 01:00:00,2021-01-10 01:00:00,0.03302105
2021-01-10 02:00:00,2021-01-10 02:00:00,0.0330409
2021-01-10 03:00:00,2021-01-10 03:00:00,0.03305648
2021-01-10 04:00:00,2021-01-10 04:00:00,0.03307071
2021-01-10 05:00:00,2021-01-10 05:00:00,0.03305743
2021-01-10 06:00:00,2021-01-10 06:00:00,0.03307353
2021-01-10 07:00:00,2021-01-10 07:00:00,0.03308484
2021-01-10 08:00:00,2021-01-10 08:00:00,0.03314076
2021-01-10 09:00:00,2021-01-10 09:00:00,0.03330165
2021-01-10 10:00:00,2021-01-10 10:00:00,0.03332195
2021-01-10 11:00:00,2021-01-10 11:00:00,0.03336197
2021-01-10 12:00:00,2021-01-10 12:00:00,0.03334755
2021-01-10 13:00:00,2021-01-10 13:00:00,0.03337908
2021-01-10 14:00:00,2021-01-10 14:00:00,0.03337126
2021-01-10 15:00:00,2021-01-10 15:00:00,0.03340376
2021-01-10 16:00:00,2021-01-10 16:00:00,0.03339112
2021-01-10 17:00:00,2021-01-10 17:00:00,0.03337879
2021-01-10 18:00:00,2021-01-10 18:00:00,0.0334339
2021-01-10 19:00:00,2021-01-10 19:00:00,0.03345051
2021-01-10 20:00:00,2021-01-10 20:00:00,0.03352635
2021-01-10 21:00:00,2021-01-10 21:00:00,0.03371561
2021-01-10 22:00:00,2021-01-10 22:00:00,0.0335258
2021-01-10 23:00:00,2021-01-10 23:00:00,0.03353698
2021-01-11 00:00:00,2021-01-11 00:00:00,0.03348184
2021-01-11 01:00:00,2021-01-11 01:00:00,0.03342919
2021-01-11 02:00:00,2021-01-11 02:00:00,0.03334083
2021-01-11 03:00:00,2021-01-11 03:00:00,0.03331265
2021-01-11 04:00:00,2021-01-11 04:00:00,0.03339981
2021-01-11 05:00:00,2021-01-11 05:00:00,0.03328143
2021-01-11 06:00:00,2021-01-11 06:00:00,0.03327612
2021-01-11 07:00:00,2021-01-11 07:00:00,0.03327038
2021-01-11 08:00:00,2021-01-11 08:00:00,0.03323064
2021-01-11 09:00:00,2021-01-11 09:00:00,0.03333631
2021-01-11 10:00:00,2021-01-11 10:00:00,0.03334646
2021-01-11 11:00:00,2021-01-11 11:00:00,0.03334003
2021-01-11 12:00:00,2021-01-11 12:00:00,0.03335834
2021-01-11 13:00:00,2021-01-11 13:00:00,0.03338092
2021-01-11 14:00:00,2021-01-11 14:00:00,0.03329503
2021-01-11 15:00:00,2021-01-11 15:00:00,0.03344953
2021-01-11 16:00:00,2021-01-11 16:00:00,0.03320257
2021-01-11 17:00:00,2021-01-11 17:00:00,0.03320166
2021-01-11 18:00:00,2021-01-11 18:00:00,0.0332861
2021-01-11 19:00:00,2021-01-11 19:00:00,0.03336639
2021-01-11 20:00:00,2021-01-11 20:00:00,0.03343829
2021-01-11 21:00:00,2021-01-11 21:00:00,0.03344764
2021-01-11 22:00:00,2021-01-11 22:00:00,0.0334277
2021-01-11 23:00:00,2021-01-11 23:00:00,0.03350094
2021-01-12 00:00:00,2021-01-12 00:00:00,0.03338005
2021-01-12 01:00:00,2021-01-12 01:00:00,0.03336761
2021-01-12 02:00:00,2021-01-12 02:00:00,0.03332508
2021-01-12 03:00:00,2021-01-12 03:00:00,0.03329778
2021-01-12 04:00:00,2021-01-12 04:00:00,0.03329822
2021-01-12 05:00:00,2021-01-12 05:00:00,0.03333978
2021-01-12 06:00:00,2021-01-12 06:00:00,0.03334951
2021-01-12 07:00:00,2021-01-12 07:00:00,0.03337638
2021-01-12 08:00:00,2021-01-12 08:00:00,0.03337794
2021-01-12 09:00:00,2021-01-12 09:00:00,0.03346312
2021-01-12 10:00:00,2021-01-12 10:00:00,0.03341841
2021-01-12 11:00:00,2021-01-12 11:00:00,0.03345006
2021-01-12 12:00:00,2021-01-12 12:00:00,0.03350969
2021-01-12 13:00:00,2021-01-12 13:00:00,0.03346902
2021-01-12 14:00:00,2021-01-12 14:00:00,0.03347562
2021-01-12 15:00:00,2021-01-12 15:00:00,0.03344924
2021-01-12 16:00:00,2021-01-12 16:00:00,0.03343522
2021-01-12 17:00:00,2021-01-12 17:00:00,0.03336997
2021-01-12 18:00:00,2021-01-12 18:00:00,0.03341376
2021-01-12 19:00:00,2021-01-12 19:00:00,0.03341054
2021-01-12 20:00:00,2021-01-12 20:00:00,0.03349553
2021-01-12 21:00:00,2021-01-12 21:00:00,0.03352065
2021-01-12 22:00:00,2021-01-12 22:00:00,0.0334967
2021-01-12 23:00:00,2021-01-12 23:00:00,0.03351133
2021-01-13 00:00:00,2021-01-13 00:00:00,0.03345789
2021-01-13 01:00:00,2021-01-13 01:00:00,0.03347651
2021-01-13 02:00:00,2021-01-13 02:00:00,0.03347435
2021-01-13 03:00:00,2021-01-13 03:00:00,0.03347495
2021-01-13 04:00:00,2021-01-13 04:00:00,0.03349887
2021-01-13 05:00:00,2021-01-13 05:00:00,0.03340973
2021-01-13 06:00:00,2021-01-13 06:00:00,0.03335156
2021-01-13 07:00:00,2021-01-13 07:00:00,0.03332274
2021-01-13 08:00:00,2021-01-13 08:00:00,0.03318879
2021-01-13 09:00:00,2021-01-13 09:00:00,0.03308669
2021-01-13 10:00:00,2021-01-13 10:00:00,0.0331448
2021-01-13 11:00:00,2021-01-13 11:00:00,0.03310054
2021-01-13 12:00:00,2021-01-13 12:00:00,0.03307382
2021-01-13 13:00:00,2021-01-13 13:00:00,0.03304466
2021-01-13 14:00:00,2021-01-13 14:00:00,0.03303041
2021-01-13 15:00:00,2021-01-13 15:00:00,0.03294878
2021-01-13 16:00:00,2021-01-13 16:00:00,0.03291621
2021-01-13 17:00:00,2021-01-13 17:00:00,0.03288523
2021-01-13 18:00:00,2021-01-13 18:00:00,0.03285383
2021-01-13 19:00:00,2021-01-13 19:00:00,0.03285946
2021-01-13 20:00:00,2021-01-13 20:00:00,0.03287003
